FileName,NWorksheets,NFunctions,NUniqueFunctions,Ncells,NNonEmptyCells,Nformulas,NUniqueFormulas,NRelatedWorksheets,NErrorCells,NNamedRanges,NUDFs, NFormulasReferring,NFormulasReferred,NFormulasOnce,NFormulasMore,NFormulasMost,NFunctionUsingList9
andy_zipper__183__DYNEGY-ICE VOL May15.xls,16,71,19,129099,128380,6113,70,24,0,1,0,51,49,52,20,4928,3
andy_zipper__184__DYNEGY-ICE VOL May17.xls,16,58,17,157944,157216,10099,63,24,0,1,0,47,41,46,19,9990,3
andy_zipper__185__DYNEGY-ICE VOL May16.xls,16,66,18,162578,161862,30877,68,24,0,1,0,50,45,46,25,9990,3
andy_zipper__186__Prospecting Progress.xls,3,0,0,604,604,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__187__DYNEGY-ICE VOL May18.xls,16,60,17,154588,153878,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__188__DYNEGY-ICE VOL May21.xls,16,60,17,162816,161019,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__189__Broker detail 5-22-01.xls,4,14,10,14789,14788,12,6,1,0,0,0,2,9,3,3,5,2
andy_zipper__190__Broker detail 5-21-01.xls,4,14,10,13667,13666,12,6,1,0,0,0,2,9,3,3,5,2
andy_zipper__191__Global_Prod 5-22-01 EM.xls,7,0,0,5070,5070,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__192__DYNEGY-ICE VOL May22.xls,16,60,17,161670,159834,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__193__Trader & Products 5-22-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__194__Broker detail 5-23-01.xls,4,14,10,16624,16623,12,6,1,0,0,0,2,9,3,3,5,2
andy_zipper__195__Global_Prod 5-23-01 EM.xls,7,0,0,5082,5082,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__196__Trader & Products 5-23-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__197__DYNEGY-ICE VOL May23.xls,16,60,17,167324,165498,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__198__NA GAS AND POWER-REGION BREAKOUT 05-23-01 EM.xls,6,0,0,36,36,4,4,4,0,0,0,4,2,4,0,1,0
andy_zipper__199__GLOBAL PRODUCTS 5-23-01 EM.xls,2,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__200__GLOBAL PRODUCTS CRUDE 5-23-01 EM.xls,2,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__201__GLOBAL PRODUCTS CRUDE 5-23-01 VOL EM.xls,2,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__202__EOL COMMODITY BREAKOUT 5-23-01 EM.xls,4,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__203__DEAL BREAKDOWN ANALYSIS 5-23-01 EM.xls,3,18,3,595,558,473,115,2,0,0,0,115,127,8,150,27,0
andy_zipper__204__Broker detail 5-24-01.xls,5,16,11,18070,18069,129,8,1,0,0,0,2,9,4,4,116,3
andy_zipper__205__Global_Prod 5-24-01 EM.xls,7,0,0,5108,5108,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__206__DYNEGY-ICE VOL May24.xls,16,60,17,171684,169921,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__207__Trader & Products 5-24-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__208__eLondonGlobalWEMR(2)-05-23-01.xls,5,0,0,8518,8518,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__209__eEuropeanWEMR 05-23-01.xls,11,0,0,20742,20742,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__210__eLondonWEMRCharts-05-23-01.xls,18,0,0,8144,8144,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__211__Broker detail 5-25-01.xls,5,17,11,18822,18821,129,9,1,0,0,0,2,9,5,4,115,3
andy_zipper__212__New Weekly Report .xls,11,312,6,3516,3516,603,219,1,0,0,0,211,211,132,125,34,0
andy_zipper__213__Trader & Products 5-25-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__214__Global_Prod 5-25-01 EM.xls,7,0,0,5029,5029,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__215__DYNEGY-ICE VOL May25.xls,16,60,17,151896,150088,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__216__EOL_Countries&Products_Status_05-25-01.xls,6,5,1,2688,2688,35,15,5,0,0,0,15,4,1,15,4,0
andy_zipper__217__EOL_Countries&Products_Status_05-25-01.xls,6,5,1,2689,2689,35,15,5,0,0,0,15,4,1,15,4,0
andy_zipper__218__Global_Prod 5-29-01 EM.xls,7,0,0,5238,5238,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__219__Trader & Products 5-29-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__220__DYNEGY-ICE VOL May29.xls,16,60,17,176762,174931,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__221__Global_Prod 5-30-01 EM.xls,7,0,0,5166,5166,8,8,7,0,0,0,8,3,8,0,1,0
andy_zipper__222__DYNEGY-ICE VOL May30.xls,16,60,17,176437,174664,10100,64,24,0,1,0,48,41,47,20,9990,3
andy_zipper__223__Trader & Products 5-30-01 EM.xls,3,0,0,162,162,0,0,0,0,0,0,0,0,0,0,0,0
andy_zipper__224__New Weekly Report .xls,12,352,6,3958,3958,683,249,2,0,0,0,240,239,146,148,16,0
andy_zipper__225__NA GAS AND POWER-REGION BREAKOUT 05-30-01 EM.xls,6,0,0,36,36,4,4,4,0,0,0,4,2,4,0,1,0
andy_zipper__226__GLOBAL PRODUCTS 5-30-01 EM.xls,2,0,0,14,14,0,0,0,0,0,0,0,0,0,0,0,0
